pattern_id,source_file,match_index
1,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,1051
2,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,7557
3,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,2108
3,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,8076
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,87
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,975
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,1389
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,3041
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,3331
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,3630
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,5184
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,5270
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,5770
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,7276
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,7653
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,8881
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,9028
4,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,9168
5,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,7238
6,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,2436
6,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,4674
7,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,4672
8,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,4143
9,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,3272
10,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,3129
11,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,2689
12,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,1260
13,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,2387
14,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,613
15,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,5430
15,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,6230
16,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,2651
17,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,4550
18,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,4302
19,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,2871
20,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,6796
21,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,7091
22,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,2340
23,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,4792
24,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,221
25,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,8905
26,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,7172
27,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,7329
28,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,7799
29,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,8036
30,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,299
31,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,3271
32,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,6652
33,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,8435
34,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,5005
35,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,4763
36,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,6869
37,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,7304
38,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,3557
39,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,1643
40,EU541617.1 HIV-1 clone pIIIB from USA_ complete genome,2276
